scene_id,trip_id,substance,block,coder_A,coder_B,rater_status,rater_A_individuated,rater_B_individuated,stage1_driver,parent_scene_id,stage1_verdict,verdict_flavour,verdict_source,canonical_span_start,canonical_span_end,scene_word_count,scene_rank_in_trip,canonical_desc,rater_A_excerpt,rater_B_excerpt,narrative_passage,stage1_rationale,verdict_rationale,n_scenes_in_trip,n_convergent_in_trip,n_solo_A_in_trip,n_solo_B_in_trip,n_scenes_rater_A_in_trip,n_scenes_rater_B_in_trip,n_miss_in_trip,n_granularity_in_trip,n_ambiguity_2a_in_trip,n_ambiguity_2b_in_trip,trip_word_count
Brugmansia_13_S07_AB,Brugmansia_13,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,4568,4750,182,7,"Believes he went to bed stripped to boxers; wakes up sitting in desk chair fully clothed, smoking imaginary cigarette; repeats 3x","A21,A22,A23,A24",B09,"I stripped to my boxers, dove in bed, and was ready for sleep. About twenty minutes later, I'd realize that I was sitting in my desk chair, fully clothed, smoking an imaginary cigare",,Both raters individuated this passage.,10,8,1,1,9,9,2,0,0,0,1274
Brugmansia_13_S08_AB,Brugmansia_13,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,4856,5150,294,8,Shadow humanoid figures leap across ceiling; shadow head peeks from bedroom corners,"A25,A26,A27","B10,B11","Above me, shadows of human figures leapt from one side of the ceiling to the other...it didn't bother me, I thought it was beautiful, like they were dancing. In the corners of my bedroom I'd see a shadow head pop out, as if it were checking to see what I was doing. That didn't bother me either",,Both raters individuated this passage.,10,8,1,1,9,9,2,0,0,0,1274
Brugmansia_13_S09_AB,Brugmansia_13,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,5154,5400,246,9,"Cat pouncing on stomach and digging under covers; grabs cat to put her out, only to find hand empty (cat was already out)","A28,A29,A30","B12,B13","My cat kept pouncing on my stomach and digging to get under the covers, this got me really pissed because I was trying to relax, so I went to kick her out, I had her by the scruff of her neck, but when I opened the door, I realized my hand was em",,Both raters individuated this passage.,10,8,1,1,9,9,2,0,0,0,1274
Brugmansia_13_S10_AB,Brugmansia_13,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,5526,5700,174,10,Girlfriend appears twice on other side of bed; touches her hair once; second time yells at her for hogging bed; she was not there,A31,"B14,B15","I saw my girlfriend on the other side of the bed, and I touched her hair the first time, blinked and she was gone. The second time I woke up on the edge of the bed, mad becau",,Both raters individuated this passage.,10,8,1,1,9,9,2,0,0,0,1274
Brugmansia_14_S01_A_RCL,Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,,MISS,,manual,693,780,87,1,"Billiard ball perceived as an apple, almost bitten","A01,A02",,I though a billiard ball was an apple and almost bit in it. 3 hours in the trip a frien,No automatic classification; likely genuine miss by other rater,"Billiard ball perceived as an apple, almost bitten. Object-misidentification illusion, concrete visual. Matches AB criterion (imaginary cigarettes, guitar-playing hallucination, imaginary people).",6,5,1,0,6,5,1,0,0,0,348
Brugmansia_14_S02_AB,Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,896,990,94,2,Sees friend's dad and greets him; friend says no one is there,"A03,A04","B01,B02","I saw my friend's dad and said hallo to him, but my friend told me that there was nobody. 

In",,Both raters individuated this passage.,6,5,1,0,6,5,1,0,0,0,348
Brugmansia_14_S03_AB,Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,988,1120,132,3,Believes he is playing guitar really well; realises his hands are in his pockets,"A05,A06,A07",B03,"In his room I was playing guitar, really good actually until I recognized that I was just sitting there with my hands in my pocket. ",,Both raters individuated this passage.,6,5,1,0,6,5,1,0,0,0,348
Brugmansia_14_S04_AB,Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1122,1350,228,4,"Friend walks him home for 15 min, disappears into thin air just before his house",A08,B04,By the time I felt fine again I walked home. My friend came with me to watch over me. It was about a 15 min walk and I was talking to him the whole time. Not far my house my friend just turned around and disappeared into thin ai,,Both raters individuated this passage.,6,5,1,0,6,5,1,0,0,0,348
Brugmansia_14_S05_AB,Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1353,1420,67,5,"At night, talks to imaginary people","A09,A10","B05,B06","During that night I still talked to a lot of imaginary people, was ",,Both raters individuated this passage.,6,5,1,0,6,5,1,0,0,0,348
Brugmansia_14_S06_AB,Brugmansia_14,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1416,1510,94,6,Smoking an imaginary cigarette (he is a non-smoker),A11,B07,was smoking an imaginary cigarette (I am a non smoker)and did a lot of other weird stuff how I,,Both raters individuated this passage.,6,5,1,0,6,5,1,0,0,0,348
Brugmansia_15_S01_A_RCL,Brugmansia_15,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,,MISS,,manual,1304,1550,246,1,Own mirror reflection perceived as one of his friends; has conversation with it until hand-gesture mirroring reveals it is himself,"A01,A02,A03",,"I could see my reflection in the mirror and thought it was one of my friends, but as I was having a conversation with him I realized he was making all the exact same hand gestures as I was and then I realized it was me. When I went to bed I could",No automatic classification; likely genuine miss by other rater,"Own mirror reflection perceived as a friend, has a conversation with ""him"" until hand-gesture mirroring reveals it's himself. Concrete visual+identity hallucination. Matches the only AB scene (2-hour conversation with imaginary friends) — same phenomenon.",2,1,1,0,2,1,1,0,0,0,389
Brugmansia_15_S02_AB,Brugmansia_15,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1563,1760,197,2,Two-hour conversation in bed with two imaginary friends on the floor,A04,"B01,B02",I had about a two hour conversation with two of my friends who were on the floor. The next day I realized that I hadn't had any friends over and I was just talking to myself. It was a little intens,,Both raters individuated this passage.,2,1,1,0,2,1,1,0,0,0,389
Brugmansia_16_S01_AB,Brugmansia_16,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1194,1370,176,1,Hallucinations of friends (who were in different cities) conversing and making plans; gone when looked back at,"A01,A02","B01,B02,B03","I frequently had hallucinations of friends (who were in totally different cities than me) conversing and making plans, and when I would look back to talk to them, they were gon",,Both raters individuated this passage.,1,1,0,0,1,1,0,0,0,0,353
Brugmansia_17_S01_A_RCL,Brugmansia_17,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,,AMBIGUITY,2b,manual,2590,3050,460,1,Mistook canola cooking oil bottle for a drink and drank it (twice attempted),"A01,A02",,"drink of water. I had a bit of a chat with my father and he was constantly saying 'what are you talking about' and my only reply was 'I dont know'. 

Now the first scary thing to happen was when I needed a drink and came into the kitchen for this very reason, picked up a open bottle of canola vegetable oil and had a good chug on it (two gulps) before realizing it was cooking oil and running out the front with the last gulp still in my mouth and throwing up",No automatic classification; likely genuine miss by other rater,"Mistook canola cooking oil for a drink and drank it. Cognitive-judgement / perceptual-confusion error driven by impaired state, but not a discrete hallucinatory scene (no specific hallucinated content was perceived in the oil bottle). Pair's criterion in neighbouring trips is concrete perceptual hallucinations; this sits outside that category.",1,0,1,0,1,0,0,0,0,1,1116
Brugmansia_18_S01_AB,Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1432,1960,528,1,Jake arrives with a group of unknown silent people; later realises it wasn't Jake,"A01,A02","B01,B02,B03","it was another mate Jake. Thing is he had a group of people with him that I didnt know and they all came inside and sat down in the living room and didnt say anything, Jake put his head between his legs and sat there in silence and I thought that he was really drunk or something so I left him be and continued to walk around the apartment in a haze. After a while I approached Jake and tried to make conversation with him and when he finally looked up I came to realize that it wasn't Jake at all and I had never seen this guy ",,Both raters individuated this passage.,6,3,1,2,4,5,2,1,0,0,1081
Brugmansia_18_S02_AB,Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,2079,2280,201,2,Smoking imaginary cigarettes all night; ~6 unknown people in apartment,"A03,A04,A05",B04,"I was smoking imaginary cigarettes all night and there was maybe now 6 people in the apartment I didnt know, and Dave was not to be seen but he was there the whole time as well. 

Every time I looked a",,Both raters individuated this passage.,6,3,1,2,4,5,2,1,0,0,1081
Brugmansia_18_S03_AB,Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,2415,2670,255,3,Silent people take the form of mental patients; lip-reading their non-sounds,"A06,A07",B05,The silent people began to take on the form of mental patients (I believe because my subconscious thought I was going insane) and I was constantly making conversation with them and they would talk back but no sound would come out so I was trying to lip-re,,Both raters individuated this passage.,6,3,1,2,4,5,2,1,0,0,1081
Brugmansia_18_S04_A_RCL,Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,Brugmansia_18_S02_AB,GRANULARITY,,manual,2674,2870,196,4,Strange silent people take on horror-based figures,A08,,As the night wore on the strange silent people would take on more horror-based figures and it was turning into a complete nightmare but I wasn't scared at all. So much more happened and I saw some,No automatic classification; likely genuine miss by other rater,Summary of the evolution of the silent-people scenes already individuated as AB S02/S03 (silent people in apartment; mental-patient forms). Larger-scope scene is the AB individuation; this solo is a fragment/continuation view. Default data rule: fold under AB parent.,6,3,1,2,4,5,2,1,0,0,1081
Brugmansia_18_S05_B_RCL,Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,only_B,False,True,RCL,,MISS,,manual,3424,3610,186,5,Mental patients lying on floor beside bed after returning home,,B06,I had company in the form of mental patients laying on the floor beside my bed. By this time I had my head together enough to know that I was hallucinating but the mental patients were s,No automatic classification; likely genuine miss by other rater,Mental patients on floor beside bed AT HOME (after hospital). Discrete continuation-at-new-location of S03 mental-patient hallucinations. A's individuation stopped at the earlier setting; B correctly individuated the home episode. A's omission is a gap.,6,3,1,2,4,5,2,1,0,0,1081
Brugmansia_18_S06_B_RCL,Brugmansia_18,brugmansia,11-20,Alessandra,Alessio,only_B,False,True,RCL,,MISS,,manual,4017,4500,483,6,Two female mental patients at home (a pillow-headed one and a clock-headed one),,B07,"There were only 2 of them when I got back to my place. They were both female and one of then was the exact same one I was talking to at Dave's place. 

One of them was just a pillow on the floor so the head was big and square and she constantly had a big smile on her face with an enormous mouth. The other one was the one from Dave's place (a clock that was smoking crack at the start of the night) and the rim of the clock was like braces for her face... yeah I know 

So I lay in ",No automatic classification; likely genuine miss by other rater,"Two specific female mental patients at home (pillow-headed and clock-headed). Concrete, specific visual hallucinations with distinctive morphology. Matches criterion clearly; A missed.",6,3,1,2,4,5,2,1,0,0,1081
Brugmansia_19_S01_AB,Brugmansia_19,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,737,900,163,1,White cobwebs layer on ceiling; possibly a spider,"A01,A02",B01,"I was having totally life-like hallucinations, the ceiling of the room we were siting in had a thick layer of white cobwebs, don't know if the spider was there. Ap",,Both raters individuated this passage.,2,2,0,0,2,2,0,0,0,0,488
Brugmansia_19_S02_AB,Brugmansia_19,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,946,1040,94,2,Naked blonde woman standing in the shower; repeated conversations,"A03,A04",B02,there was a naked blonde woman standing in the shower who i would keep having conversations wi,,Both raters individuated this passage.,2,2,0,0,2,2,0,0,0,0,488
Brugmansia_20_S01_B_RCL,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,only_B,False,True,RCL,,MISS,,manual,774,900,126,1,Feels someone's legs across his chest as if a person came in and slept in his bed,,B01,feel someone’s legs across my chest as if someone came in my room and went to sleep in my bed. I didn’t really care. I got up ,No automatic classification; likely genuine miss by other rater,Tactile hallucination: feels someone's legs across his chest as if a person came in and slept in his bed. Concrete somatic-person hallucination. Matches AB criterion (people appearing in room / chair) in tactile modality.,10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S02_A_RCL,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,,AMBIGUITY,2b,manual,912,975,63,2,Pitch black room impaired vision (darkness coded as illusion),A01,,Couldn’t see all to well because it was almost pitch black. As ,No automatic classification; likely genuine miss by other rater,"""Couldn't see all to well because it was almost pitch black"" — darkness / low-light impaired vision. Not a hallucinatory scene under any reasonable reading; the phenomenon (dark room) is real. A's individuation here is a miscode; B correctly did not individuate. Not a MISS by B — the content is outside the hallucinatory-scene category entirely.",10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S03_AB,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1036,1200,164,3,"Instead of seeing his friend on the floor, sees a kid from down the street + 3 other sleeping people","A02,A03,A04","B02,B03","instead of seeing my friend I see some kid down the street along with 3 other people sleeping. (I still don’t really care But I did think it was all real)

1:30 am ",,Both raters individuated this passage.,10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S04_B_RCL,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,only_B,False,True,RCL,,MISS,,manual,1564,1650,86,4,Returning to room still sees the person in the bed; then gone,,B04,still see the person in the bed. As I looked again he was gone. So I sat down on my be,No automatic classification; likely genuine miss by other rater,"""Returning to room still sees the person in the bed; then gone"" — continuation of S01 chest-legs somatic hallucination, now visually. Concrete person hallucination. Matches AB S03/S05 (person in chair/on floor) criterion.",10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S05_AB,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,1658,2270,612,5,"Friend appearing in computer chair (repeatedly, while actually asleep on floor)","A05,A06","B05,B06,B07","I took a glance over at my computer only to see my friend sitting in the computer chair instead of sleeping. I called out his name a few times and no response. I looked on the floor where he went to sleep and saw him there. He wasn’t in the chair anymore.

3:00 am    Still sitting in bed I saw my friend again in my computer chair. I kinda laughed to myself and asked him to teach me how he was able to disappear and shit. He still doesn’t answer me. I realized if he doesn’t answer me it must be part of the trip. So I would just check my floor to see him sleeping. (This happened about 2 more times)

3:30 am ",,Both raters individuated this passage.,10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S06_A_RCL,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,,MISS,,manual,2273,2330,57,6,Roach on the window blinds,"A07,A08",,I looked at the blinds of my window and I see a roach. I ,No automatic classification; likely genuine miss by other rater,"Roach on window blinds. Concrete insect hallucination. Directly matches AB S09 (""wasps flying in room; frog on blind-string eats a wasp"") — same location, same modality, same category.",10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S07_AB,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,3079,3230,151,7,Two unknown people come out of sister's room asking for smoking materials,"A09,A10,A11","B08,B09,B10","I’m laying on the couch and 2 people come out of my sisters room. They asked me if I had anything to smoke. I said no. They went back in the room.

4:1",,Both raters individuated this passage.,10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S08_AB,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,3513,3700,187,8,A different friend appears beside him; asks for help finding joint; friend disappears/reappears,"A12,A13",B11,one of my friends appear to my right I tell him that I lost a crip joint and I needed him to help me find it. Again no response. (This is a different friend) He disappeared and appeared o,,Both raters individuated this passage.,10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S09_AB,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,both,True,True,,,CONVERGENT,,auto,3812,4020,208,9,Wasps flying in room; a frog on the blind-string eats a wasp,"A14,A15,A16","B12,B13,B14,B15","d. As I look at my blinds I see wasps flying around that area of the room. 5 Minutes later A frog is on the string that you pull to open the blinds. (don’t know what to call that) And I saw him eat a wasp.

5",,Both raters individuated this passage.,10,5,3,2,8,7,3,0,1,1,967
Brugmansia_20_S10_A_RCL,Brugmansia_20,brugmansia,11-20,Alessandra,Alessio,only_A,True,False,RCL,,AMBIGUITY,2a,manual,4028,4220,192,10,Morning arrives in discrete lighting-brightness waves rather than continuously,A17,,As I’m staring at this frog I notice the blinds getting brighter (Night is turning into day...) But it doesn’t get lighter in a constant pace. It gets lighter in waves. In about 4 waves it was,No automatic classification; likely genuine miss by other rater,Morning light arriving in discrete brightness-waves rather than continuously. Temporal/perceptual alteration without discrete object. Guidelines unclear on whether experientially-discrete light changes constitute hallucinations vs subjective time-perception artefacts.,10,5,3,2,8,7,3,0,1,1,967
Psilocybe_01_S01_AB,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,451,700,249,1,Cosmic hum / organic buzzing / radio-static sound,A01,B01,"auditive sensitivity increasing. There was a hum or a buzzing, almost like radio static but it did not feel mechanical, I heard it as being quite organic. I believe this is what others might have called ''the cosmic hum''. 

In what felt like quite ",,Both raters individuated this passage.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S02_AB,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,895,1200,305,2,Kaleidoscopic fractals/color/shapes swirling; edges of own body and blanket dissolving into shapes,"A02,A03,A04,A05,A06,A07,A08",B02,"The visuals were something between kaleidoscopic fragmentations of color and shapes, or fractals, all gently moving and swirling and pulsating. I barely felt where the edges of my blanket or my own body ended and where these shaped began, they seemed to flow from one another and I felt wrapped, enveloped",,Both raters individuated this passage.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S03_A_RCL,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,Psilocybe_01_S01_AB,GRANULARITY,,manual,1300,1520,220,3,Main narrator voice + other voices + voices of people/entities + electronic music booming,A09,,"mic hum I could barely hear over my main narrator voice, my other voices, other people/entities voices and electronic music I've been listening to in the last weeks booming in the background. The music part triggered mov",No automatic classification; likely genuine miss by other rater,"Auditory-content fragment of the cosmic-hum scene AB S01 (narrator voice, other voices, music layered under the cosmic hum). Larger-scope scene is AB S01; this solo is a sub-scene with additional auditory detail.",9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S04_AB,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1980,2900,920,4,"Presence of entities in the room with him; some visible as swirls, others formless","A10,A11,A17,A18,A19","B04,B05"," world right then, right there in my bed, and some sort of entities were there with me. I was thinking about so many things at the same time, and my narrator's voice was very clear in my head, but it wasn't my only voice. If I would think about people in my life, I might see them or remember scenes and analyze them and talk about the situations with these people at the same time, but I felt the presence also of people I've never met, people I admire, etc. Most notably, and I made note to write this down even in my trip, at one point many of the wisdoms I had came to were recited to me in the voice of Erykah Badu. Priceless moment there, really. 

But it felt like there were other ''entities'' around me that I didn't know. They did not necessarily all have a form, but I felt their presence. Some might just be the inside of a swirl from a corner of what I was seeing, but they were just as present there as mys",,Both raters individuated this passage.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S05_AB,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,2202,2600,398,5,Thinking of people in his life — sees them and talks with them; also sees people he's never met and admires (including Erykah Badu voicing wisdoms),"A12,A13,A14,A15,A16",B03,"If I would think about people in my life, I might see them or remember scenes and analyze them and talk about the situations with these people at the same time, but I felt the presence also of people I've never met, people I admire, etc. Most notably, and I made note to write this down even in my trip, at one point many of the wisdoms I had came to were recited to me in the voice of Erykah Badu.",,Both raters individuated this passage.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S06_A_RCL,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,Psilocybe_01_S04_AB,GRANULARITY,,manual,3240,3560,320,6,Erotic dance with the entities; 'spotted' by outsiders; giggling and mutually admiring,"A20,A21",,"with someone/s, more like I felt caught in what seemed to be a very erotic dance with all these entities, and every now and then we were 'spotted' by outsiders, so we would all giggle and amaze ourselves at how nice and unapologetically beautiful we all are, and then continue. There was a great deal of understanding al",No automatic classification; likely genuine miss by other rater,Elaboration of the entity-presence scene AB S04 (entities in the room) with interactive content (erotic dance; spotted by outsiders). Larger-scope scene is AB S04; this solo is a sub-scene of that entity encounter.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S07_A_RCL,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,Psilocybe_01_S02_AB,GRANULARITY,,manual,4550,4620,70,7,Breaking edges visible again when focusing later in the trip,A22,,There were still the breaking edges if I focused a little but more on ,No automatic classification; likely genuine miss by other rater,Explicit recurrence of the kaleidoscopic-edges phenomenon individuated as AB S02. Same phenomenon revisited later in the trip — a temporal fragment of the AB scene.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S08_AB,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,6771,6960,189,8,"In bathroom: tile floor's tiny hair strands moving, ondulating, separating into edges","A23,A24,A25",B06,"While I finally relieved myself, I notice just how strong the visuals are when I look on the tile floor and every tiny strand of hair is moving, fluctuating, ondulating and separating into ",,Both raters individuated this passage.,9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_01_S09_A_RCL,Psilocybe_01,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2b,manual,9742,10000,258,9,Visualises mycelium branching in disturbed earth connecting all beings,"A26,A27,A28,A29",,"we are all connected, every being with every little imperfection in its mightiness, and the connection I visualized was a growing mycelium in disturbed earth, branching out and connecting and sustaining even more beings at once.",No automatic classification; likely genuine miss by other rater,"""Visualises mycelium branching in disturbed earth connecting all beings"" — inner visualisation/metaphor accompanying an insight, not an external perceptual hallucination. Would fit an ""insight content"" or ""visualised metaphor"" category outside the hallucinatory-scene framework.",9,5,4,0,9,5,0,3,0,1,1847
Psilocybe_02_S01_A_RCL,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,308,380,72,1,Sky is unusually colourful,A01,,the first thing I said was: do you see how colourful is the sky? Then it,No automatic classification; likely genuine miss by other rater,"""Do you see how colourful is the sky?"" — concrete ambient colour alteration. Near-identical to AB S10 (""Mexican environment perceived as extraordinarily colourful""). B should have individuated by own criterion on S10.",26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S02_AB,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,480,800,320,2,Tree with animated cortex + pine needles as sliding filaments,"A02,A03,A04",B01,"here was a tree and its cortex was full of cracks. And it was alive. It moved with tiny localised movements, like if every part of it was animated. Totally amazing. The pine needles became a surface full of filaments sliding one on another, with wave movements. I felt like I needed to feed myself with as many images as",,Both raters individuated this passage.,26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S03_A_RCL,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,872,1000,128,3,"Own hands transparent, milky, blue veins, tiny moving particles","A05,A06,A07,A08",,"my hands. They were transparent, milky, with blue veins inside, full of tiny particles that were moving. I'm so upset that I dec",No automatic classification; likely genuine miss by other rater,"""Hands transparent, milky, blue veins, tiny particles moving"" — concrete visual hallucination of own body. Matches rich AB criterion of concrete visual alterations; body-hallucinations are squarely within pair's criterion.",26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S04_AB,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1015,1100,85,4,Ground appears as mass of moving black shining worms,"A09,A10",B02,"The ground is like a mass of moving worms, black and shining. I don't like them, so I",,Both raters individuated this passage.,26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S05_A_RCL,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2a,manual,1144,1210,66,5,Fantasy world like Lord of the Rings (eyes closed),"A11,A12",,"fell into a fantasy world, something like The Lord of The Rings. B",No automatic classification; likely genuine miss by other rater,"""Fell into a fantasy world like The Lord of The Rings"" — closed-eye fantasy imagery. AB criterion is largely open-eye perceptual alteration. Guidelines unclear on whether closed-eye fantasy immersions constitute hallucinatory scenes.",26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S06_A_RCL,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,AMBIGUITY,2a,manual,1209,1270,61,6,Violent scream heard (auditory),A13,,"But I was taken back by a violent scream. 

My girlfriend fou",No automatic classification; likely genuine miss by other rater,"""Taken back by a violent scream"" — passage is ambiguous between real auditory event (girlfriend screamed) and auditory hallucination. Cannot determine from narrative alone; edge case requiring a rule on how to code ambiguous-source sounds.",26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S07_AB,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,1574,1800,226,7,Trees become a vortex; fluorescent lines leaving traces on black screen following secret geometry,"A14,A15,A16,A17,A18,A19",B03,"all the trees become a vortex, too strong for me. I sit on my own again, brace position. I disappear in a world of colourful visions. Fluorescent lines move leaving traces on a black screen, following a secret geometry. Then s",,Both raters individuated this passage.,26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S08_A_RCL,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,2000,2170,170,8,"Walking in wood: brilliant green heart-shaped leaves, rain like ice needles, wind in dolby surround","A20,A21",,"ng. We change the way and suddenly I have a powerful sensation. I am among brilliant green heart shaped leaves, the rain is like ice needles against my face, the wind is ",No automatic classification; likely genuine miss by other rater,"Walking in wood: ""brilliant green heart-shaped leaves, rain like ice needles, wind in dolby surround"" — amplified multi-modal perceptual experience of environment. Matches AB S10 (colourful Mexican env.) and the perceptual-amplification pattern across the trip.",26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S09_AB,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,2511,2600,89,9,Feeling of someone following behind him (but no one there),A22,B04,"When I stop I feel like there is someone behind me, following me, but indeed, no one is t",,Both raters individuated this passage.,26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S10_AB,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,3114,3210,96,10,Mexican environment perceived as extraordinarily colourful,A23,B05,"Everything around was so colourful (Mexican reality), so you can imagine how deep the perception",,Both raters individuated this passage.,26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S11_AB,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,both,True,True,,,CONVERGENT,,auto,4469,4580,111,11,Blanket with flowers fluctuating on it; merges with them,"A24,A25",B06,blanket is so beautiful! There were flowers fluctuating on it. I like that so much that I decided to merge with,,Both raters individuated this passage.,26,12,14,0,26,12,9,0,3,2,2344
Psilocybe_02_S12_A_RCL,Psilocybe_02,psilocybin,01-10,Alessandra,Brendan,only_A,True,False,RCL,,MISS,,manual,4700,5000,300,12,Feeling of being at a California party with many people and music; amplified echo-sounds,A26,,"ike I'm at a party in California, lots of people having fun with drinks in their hands and music in the air. I'm having fun. All sounds are amplified like they have an echo. Maybe it’s for this reason that I felt like there's a lot of people. Probably it's just someone outside the door. I want to li",No automatic classification; likely genuine miss by other rater,"""California party with lots of people and music; amplified echo-sounds"" — auditory hallucination creating displaced-place feeling. Concrete auditory content. Matches AB S09 (feeling of someone following) and the auditory-alteration pattern.",26,12,14,0,26,12,9,0,3,2,2344
